,title,name,url,lat,long,artist,description,artist_state,address,img_link,id,Sentence,ArtState
10,The Game," ""General Motors Place Arena""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=203&Neighbourhood=&Ownership=&Program=,-123.10858999999999,49.278477,['Liz Magor'],"Fourteen large metal balls are scattered throughout the grounds of General Motors Place Arena: 7 are smooth stainless steel with 3 grooves at each pole and 7 are aluminum with grooves every 3"".  Two bronze medallions are inset into each ball; one end depicts a star and the other is the face of a person in action.  All balls are 60.5"" in diameter.","The Game… engages all the exterior sites of the Arena at once, identifying them as a field for an over-sized game.  There are two teams of balls - 7 for each side.  It appears as a game in progress…  Contributing to the idea that there are dramatic consequences to this game, bronze medallions are set into each ball to carry the image of a person in action.  In the form of a portrait,  these human images lend an identity to each ball and also indicate its situation in the game.  Some faces appear triumphant, others suffer the stress of falling or spinning... At the opposite pole each ball carries the image of a star.  Whether read as rising or falling this sign casts the player as a guest of fate, inexorably rolled along in the flow of events.  (the artist)", 800 Griffiths Way,https://app.vancouver.ca/publicart_net/Img/jpg/203.jpg,pid_10,fourteen large metal balls are scattered throughout the grounds of general motors place arena are smooth stainless steel with grooves at each pole and are aluminum with grooves every two bronze medallions are inset into each ball one end depicts a star and the other is the face of a person in action all balls are in diameter,the game engages all the exterior sites of the arena at once identifying them as a field for an over sized game there are two teams of balls for each side it appears as a game in progress contributing to the idea that there are dramatic consequences to this game bronze medallions are set into each ball to carry the image of a person in action in the form of a portrait these human images lend an identity to each ball and also indicate its situation in the game some faces appear triumphant others suffer the stress of falling or spinning at the opposite pole each ball carries the image of a star whether read as rising or falling this sign casts the player as a guest of fate inexorably rolled along in the flow of events the artist
11,Thunderbirds," ""Thunderbird Stadium""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=134&Neighbourhood=&Ownership=&Program=,-123.244446,49.254687,['Zeljko Kujundzic'],The 12 modern thunderbirds are mounted atop 12 metal poles. The design references the thunderbird form on native button blankets and the number represents a team.,,,https://app.vancouver.ca/publicart_net/Img/jpg/134.jpg,pid_11,the modern thunderbirds are mounted atop metal poles the design references the thunderbird form on native button blankets and the number represents a team,
12,Symbols of the Cuneiforms," """"", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=175&Neighbourhood=&Ownership=&Program=,-123.12201999999999,49.283618,"['F. Lachnit', '', '', '', 'Patricia Thomas', '', '', '', 'Lionel Thomas']",This artwork is a delicate metal relief with plexiglas inserts.  The white sections are lighted at night. It is mounted on the exterior northwest corner of the building at Burrard and Robson (formerly the Vancouver Public Library). The piece was saved when the building was renovated from the old library.,,750 Burrard Street,https://app.vancouver.ca/publicart_net/Img/jpg/175.jpg,pid_12,this artwork is a delicate metal relief with plexiglas inserts the white sections are lighted at night it is mounted on the exterior northwest corner of the building at burrard and robson formerly the vancouver public library the piece was saved when the building was renovated from the old library,
13,Mosaic Planet," """"", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=440&Neighbourhood=&Ownership=&Program=,-123.06993200000001,49.260535,"['Glen Andersen', '', '', '', 'Marina Szijarto']",Four 4'x4' sidewalk mosaics of porcelain tiles show colourful images of community life in the area.,,10th & 11th Avenues and Commercial Street,,pid_13,four x sidewalk mosaics of porcelain tiles show colourful images of community life in the area,
14,Transcendence," ""Thea Koerner Grad Student Center""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=115&Neighbourhood=&Ownership=&Program=,-123.25673300000001,49.268823,['Jack Harman'],Four figures face the directions of the compass. The piece is in the centre of a pond and acts as a fountain.,The work was chosen from a competition of 5 submssions., Crescent Road,https://app.vancouver.ca/publicart_net/Img/jpg/115.jpg,pid_14,four figures face the directions of the compass the piece is in the centre of a pond and acts as a fountain,the work was chosen from a competition of submssions
17,Chinatown Millennium Gate," ""Keefer""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=397&Neighbourhood=&Ownership=&Program=,-123.105193,49.280719,"['Joe Y. Wai Architect, Inc']","The gate follows traditional form that commonly uses one large central arch and two smaller ones. Classical Chinese architecture emphasizes odd numbers of openings and even numbers of columns. The gate in Vancouver adheres to classical proportions and observes the principles of ""feng-shui"" for proper placement. Two stone lions are on the West side of the gate.","The gate demarcates the western entrance to historic Chinatown. The Chinese word for gate is ""Pailou"" which means a tablet or sign structure. The Chinese have a reverence for the writen word and so sign structures are very important. As this is an inner city gate, it takes as its inspiration the Inner City Gates of Beijing in the 19th and early 20th centuries.",Pender Street at Taylor,https://app.vancouver.ca/publicart_net/Img/jpg/397.jpg,pid_15,the gate follows traditional form that commonly uses one large central arch and two smaller ones classical chinese architecture emphasizes odd numbers of openings and even numbers of columns the gate in vancouver adheres to classical proportions and observes the principles of feng shui for proper placement two stone lions are on the west side of the gate,the gate demarcates the western entrance to historic chinatown the chinese word for gate is pailou which means a tablet or sign structure the chinese have a reverence for the writen word and so sign structures are very important as this is an inner city gate it takes as its inspiration the inner city gates of beijing in the th and early th centuries
18,Semaphores," ""Harbour Green""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=428&Neighbourhood=&Ownership=&Program=,-123.12347700000001,49.28967,['Claudia Cuesta'],"Seventeen glass and aluminum gates designate the entranceways to the private suites. Each has a unique image inset into it, ranging from abstract forms to a representation of sailboats, water, and other images referring to the natural or social setting. The artist interviewed the townhouse residents to make the works personally relevant. The gateways embrace the idea of life as a passage. ( R. Laurence, The Art of Place, The Georgia Straight, June 5-12, 2003) The artist also created a large illuminated glass wall piece for the tower lobby.","Semaphores makes connections to historical and existing associations while drawing the viewer into new relationships to the site.  This installation (34 gates when completed, summer 2004) of intended diversity and uniqueness, engages the public through its accessibility and maintains an open space for lyrical discovery. By using colored glass as a kaleidoscope of sensitive hues, the seriousness of painting is removed. Each painting acquires through its intrinsic translucency a depth and vibrancy that allows the images to float.    The lobby artwork at the Carina and Callisto is made up of key components to the gates. In the Carina ""Dusk"",  inspired by water (which is 4 billion years old), and ""Rib Boat Bench"", inspired by the local boat building industry in 1900, are made out of Sitka spruce, consciously resonating with the site, physically and culturally. Claudia Cuesta", 1233 West Cordova,https://app.vancouver.ca/publicart_net/Img/jpg/428.jpg,pid_16,seventeen glass and aluminum gates designate the entranceways to the private suites each has a unique image inset into it ranging from abstract forms to a representation of sailboats water and other images referring to the natural or social setting the artist interviewed the townhouse residents to make the works personally relevant the gateways embrace the idea of life as a passage r laurence the art of place the georgia straight june the artist also created a large illuminated glass wall piece for the tower lobby,semaphores makes connections to historical and existing associations while drawing the viewer into new relationships to the site this installation gates when completed summer of intended diversity and uniqueness engages the public through its accessibility and maintains an open space for lyrical discovery by using colored glass as a kaleidoscope of sensitive hues the seriousness of painting is removed each painting acquires through its intrinsic translucency a depth and vibrancy that allows the images to float the lobby artwork at the carina and callisto is made up of key components to the gates in the carina dusk inspired by water which is billion years old and rib boat bench inspired by the local boat building industry in are made out of sitka spruce consciously resonating with the site physically and culturally claudia cuesta
19,Colour," ""Hastings Community Park""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=353&Neighbourhood=&Ownership=&Program=,-123.04078,49.28078,['Nicole May'],The project includes a long winding retaining wall as well as a bench and a drinking fountain covered in colourful mosaics.,"As design consultant for the hastings community spray park itself,  the project allowed the opportunity for me to be the artist responsible for its decorative details as well - an abstract series of tile mosaics incorporating the creative contributions of over 700 local children, this community public art project provided a custom finish to a custom spray park. Hastings Park is at the base of the Hastings Street slope and in the middle of the Hastings community.  A grass slope provides a natural sunny amphitheater from which parents and supervisors can oversee the activities in the water park.  It was proposed that the slope be modified slightly and retained by a low 2' high concrete wall.  The surface treatment of the face of this retaining wall provided a prime opportunity for the integration of a community public art piece.  Water will be flowing out of the wall while the park is operating.  The artwork will add interest and animation to the play area during both on and off season months.  The artwork takes the form of a colourful file mosaic applied to the surface of the wall and could also incorporate metal inlays (eg. Brass, bronze, or copper to compliment and coordinate with the water spray heads).  The design of the artwork and the design of the waterplay area happened simultaneously to ensure the production an appropriate piece, unique to this particular site. - Park Board web site", 3096 East Hastings,https://app.vancouver.ca/publicart_net/Img/jpg/353.jpg,pid_17,the project includes a long winding retaining wall as well as a bench and a drinking fountain covered in colourful mosaics,as design consultant for the hastings community spray park itself the project allowed the opportunity for me to be the artist responsible for its decorative details as well an abstract series of tile mosaics incorporating the creative contributions of over local children this community public art project provided a custom finish to a custom spray park hastings park is at the base of the hastings street slope and in the middle of the hastings community a grass slope provides a natural sunny amphitheater from which parents and supervisors can oversee the activities in the water park it was proposed that the slope be modified slightly and retained by a low high concrete wall the surface treatment of the face of this retaining wall provided a prime opportunity for the integration of a community public art piece water will be flowing out of the wall while the park is operating the artwork will add interest and animation to the play area during both on and off season months the artwork takes the form of a colourful file mosaic applied to the surface of the wall and could also incorporate metal inlays eg brass bronze or copper to compliment and coordinate with the water spray heads the design of the artwork and the design of the waterplay area happened simultaneously to ensure the production an appropriate piece unique to this particular site park board web site
20,Vancouver Vertical," ""Daon Building""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=148&Neighbourhood=&Ownership=&Program=,-123.116037,49.287198,['Joanna Staniszkis'],The large textile composition made up of a series of woven vertical strips is an image of the Vancouver waterfront and its reflection.,, 999 West Hastings Street,https://app.vancouver.ca/publicart_net/Img/jpg/148.jpg,pid_18,the large textile composition made up of a series of woven vertical strips is an image of the vancouver waterfront and its reflection,
21,Hastings Mill Commemorative," ""Flying Angel Seamen's Club""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=29&Neighbourhood=&Ownership=&Program=,-123.094871,49.286208,['Gerhard Class'],A commemorative sculpture based on three abstract tree trunk forms made of BC granite set in a circle in varying heights. There are relief carvings in the stone that recall the history of logging and milling.,"The sculpture was to mark the spot of the old Hastings Mill near the National Harbours Board Building. The National Harbours Board, the Hamber Foundation and the Koerner Foundation all contributed to the project.", Dunlevy Street (north end),https://app.vancouver.ca/publicart_net/Img/jpg/029.jpg,pid_19,a commemorative sculpture based on three abstract tree trunk forms made of bc granite set in a circle in varying heights there are relief carvings in the stone that recall the history of logging and milling,the sculpture was to mark the spot of the old hastings mill near the national harbours board building the national harbours board the hamber foundation and the koerner foundation all contributed to the project
22,Everything Is Going To Be Alright," ""The Wing Sang Building""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=502&Neighbourhood=&Ownership=&Program=,-123.10311200000001,49.280538,['Martin Creed'],Neon text affixed to the restored masonry parapet of the southern façade of the six storey portion of the building.  The art piece is set back from the three storey Pender façade but visible from farther vistas.,,51 East Pender Street,https://app.vancouver.ca/publicart_net/Img/jpg/502.jpg,pid_20,neon text affixed to the restored masonry parapet of the southern fa ade of the six storey portion of the building the art piece is set back from the three storey pender fa ade but visible from farther vistas,
23,Moving Pictures," ""Vancouver International Film Festival Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=470&Neighbourhood=&Ownership=&Program=,-123.125040050903,49.27705517,['Jill Anholt'],"Moving Pictures ""uses simple camera optics to capture a ""real-time"" film strip of flowering street trees and people and cars passing by.  At night, the tree's natural seasonal cycle is theatrically accelerated by a colour-changing LED fixture located in one of the art objects.""  ""Each of three viewfinders holds a series of different perspectives of the tree and its context behind to create a different cinematic composition. The multiple images are inverted, similar to those created by a primitive camera, and may appear to be static and unchanging. The realization that the images are actually real-time ""moving pictures"" may be further understood once another passer-by or a car moves through the image plane that is reflected onto the viewing surfaces."" - artist's proposal","""Moving Pictures illustrates cinematic elements of changing perspective and the play of time, to create a greater understanding of film media. Formed from the composition of three vertical viewfinders, natural and artificial lighting, and landscape elements, the piece assembles a filmic montage in which images of the same object, captured and framed from different points of view and through different perceptions of time, can be seen by the viewer."" - artist's proposal", 1133 Seymour,https://app.vancouver.ca/publicart_net/Img/jpg/470.jpg,pid_21,moving pictures uses simple camera optics to capture a real time film strip of flowering street trees and people and cars passing by at night the tree s natural seasonal cycle is theatrically accelerated by a colour changing led fixture located in one of the art objects each of three viewfinders holds a series of different perspectives of the tree and its context behind to create a different cinematic composition the multiple images are inverted similar to those created by a primitive camera and may appear to be static and unchanging the realization that the images are actually real time moving pictures may be further understood once another passer by or a car moves through the image plane that is reflected onto the viewing surfaces artist s proposal,moving pictures illustrates cinematic elements of changing perspective and the play of time to create a greater understanding of film media formed from the composition of three vertical viewfinders natural and artificial lighting and landscape elements the piece assembles a filmic montage in which images of the same object captured and framed from different points of view and through different perceptions of time can be seen by the viewer artist s proposal
24,Renfrew Ravine Sanctuary," """"", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=427&Neighbourhood=&Ownership=&Program=,-123.043728,49.251186,['Carmen Rosen'],"The entrance to the ravine is enhanced with a welcoming pathway, garden, and stone labyrinth.",Sponsored by the Collingwood Neighbourhood House.,,,pid_22,the entrance to the ravine is enhanced with a welcoming pathway garden and stone labyrinth,sponsored by the collingwood neighbourhood house
25,Robert Burns," """"", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=83&Neighbourhood=&Ownership=&Program=,-123.134619,49.297198,['George A. Lawson'],"This bronze statue of Robbie Burns was cast from the original in his native town of Ayr, Scotland. It is designated a heritage monument.",, Stanley Park,https://app.vancouver.ca/publicart_net/Img/jpg/083.jpg,pid_23,this bronze statue of robbie burns was cast from the original in his native town of ayr scotland it is designated a heritage monument,
26,Suan Phan: Abacus," ""Shanghai Alley""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=469&Neighbourhood=&Ownership=&Program=,-123.105903,49.279584,['Gwen Boyle'],"The artwork is a dark concrete gate structure that supports a curved steel beam painted in cinnabar and frames a 1200 lb abacus with jade stones from Ogden Mountain in BC. The stones are movable and were carved by Deborah Wilson and engineered by George Noble to ""float"".","""The abacus and jade are integral parts of Cinatown's history. Because I was born and lived here they are also part of my past and present. Traditionally jade is said to emanate ""chhi"", a power conducive of good health and luck. It was and is treasured for that silent effluxion as well as for the calm beauty of the stone. The abacus is known to the Chinese as ""suan phan"" (counting board). It is a mechanical aid once commonly - and still sometimes - used in chinatown shops. Calculations are made by moving the beads up and down and from right to left. Those beads would not be jade - probably wood."" from the announcement of the completion of the piece, October 29, 2005",550 Taylor,https://app.vancouver.ca/publicart_net/Img/jpg/469.jpg,pid_24,the artwork is a dark concrete gate structure that supports a curved steel beam painted in cinnabar and frames a lb abacus with jade stones from ogden mountain in bc the stones are movable and were carved by deborah wilson and engineered by george noble to float,the abacus and jade are integral parts of cinatown s history because i was born and lived here they are also part of my past and present traditionally jade is said to emanate chhi a power conducive of good health and luck it was and is treasured for that silent effluxion as well as for the calm beauty of the stone the abacus is known to the chinese as suan phan counting board it is a mechanical aid once commonly and still sometimes used in chinatown shops calculations are made by moving the beads up and down and from right to left those beads would not be jade probably wood from the announcement of the completion of the piece october
