title,name,url,lat,long,artist,description,artist_state,address,img_link
Semaphores," ""Harbour Green""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=428&Neighbourhood=&Ownership=&Program=, -123.123477,49.28967,['Claudia Cuesta'],"Seventeen glass and aluminum gates designate the entranceways to the private suites. Each has a unique image inset into it, ranging from abstract forms to a representation of sailboats, water, and other images referring to the natural or social setting. The artist interviewed the townhouse residents to make the works personally relevant. The gateways embrace the idea of life as a passage. ( R. Laurence, The Art of Place, The Georgia Straight, June 5-12, 2003) The artist also created a large illuminated glass wall piece for the tower lobby.","Semaphores makes connections to historical and existing associations while drawing the viewer into new relationships to the site.  This installation (34 gates when completed, summer 2004) of intended diversity and uniqueness, engages the public through its accessibility and maintains an open space for lyrical discovery. By using colored glass as a kaleidoscope of sensitive hues, the seriousness of painting is removed. Each painting acquires through its intrinsic translucency a depth and vibrancy that allows the images to float.    The lobby artwork at the Carina and Callisto is made up of key components to the gates. In the Carina ""Dusk"",  inspired by water (which is 4 billion years old), and ""Rib Boat Bench"", inspired by the local boat building industry in 1900, are made out of Sitka spruce, consciously resonating with the site, physically and culturally. Claudia Cuesta", 1233 West Cordova,https://app.vancouver.ca/publicart_net/Img/jpg/428.jpg
Colour," ""Hastings Community Park""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=353&Neighbourhood=&Ownership=&Program=, -123.04078,49.28078,['Nicole May'],The project includes a long winding retaining wall as well as a bench and a drinking fountain covered in colourful mosaics.,"As design consultant for the hastings community spray park itself,  the project allowed the opportunity for me to be the artist responsible for its decorative details as well - an abstract series of tile mosaics incorporating the creative contributions of over 700 local children, this community public art project provided a custom finish to a custom spray park. Hastings Park is at the base of the Hastings Street slope and in the middle of the Hastings community.  A grass slope provides a natural sunny amphitheater from which parents and supervisors can oversee the activities in the water park.  It was proposed that the slope be modified slightly and retained by a low 2' high concrete wall.  The surface treatment of the face of this retaining wall provided a prime opportunity for the integration of a community public art piece.  Water will be flowing out of the wall while the park is operating.  The artwork will add interest and animation to the play area during both on and off season months.  The artwork takes the form of a colourful file mosaic applied to the surface of the wall and could also incorporate metal inlays (eg. Brass, bronze, or copper to compliment and coordinate with the water spray heads).  The design of the artwork and the design of the waterplay area happened simultaneously to ensure the production an appropriate piece, unique to this particular site. - Park Board web site", 3096 East Hastings,https://app.vancouver.ca/publicart_net/Img/jpg/353.jpg
Vancouver Vertical," ""Daon Building""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=148&Neighbourhood=&Ownership=&Program=, -123.116037,49.287198,['Joanna Staniszkis'],The large textile composition made up of a series of woven vertical strips is an image of the Vancouver waterfront and its reflection.,, 999 West Hastings Street,https://app.vancouver.ca/publicart_net/Img/jpg/148.jpg
Hastings Mill Commemorative," ""Flying Angel Seamen's Club""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=29&Neighbourhood=&Ownership=&Program=, -123.094871,49.286208,['Gerhard Class'],A commemorative sculpture based on three abstract tree trunk forms made of BC granite set in a circle in varying heights. There are relief carvings in the stone that recall the history of logging and milling.,"The sculpture was to mark the spot of the old Hastings Mill near the National Harbours Board Building. The National Harbours Board, the Hamber Foundation and the Koerner Foundation all contributed to the project.", Dunlevy Street (north end),https://app.vancouver.ca/publicart_net/Img/jpg/029.jpg
Everything Is Going To Be Alright," ""The Wing Sang Building""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=502&Neighbourhood=&Ownership=&Program=, -123.103112,49.280538,['Martin Creed'],Neon text affixed to the restored masonry parapet of the southern façade of the six storey portion of the building.  The art piece is set back from the three storey Pender façade but visible from farther vistas.,,51 East Pender Street,https://app.vancouver.ca/publicart_net/Img/jpg/502.jpg
Moving Pictures," ""Vancouver International Film Festival Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=470&Neighbourhood=&Ownership=&Program=, -123.125040050903,49.27705517,['Jill Anholt'],"Moving Pictures ""uses simple camera optics to capture a ""real-time"" film strip of flowering street trees and people and cars passing by.  At night, the tree's natural seasonal cycle is theatrically accelerated by a colour-changing LED fixture located in one of the art objects.""  ""Each of three viewfinders holds a series of different perspectives of the tree and its context behind to create a different cinematic composition. The multiple images are inverted, similar to those created by a primitive camera, and may appear to be static and unchanging. The realization that the images are actually real-time ""moving pictures"" may be further understood once another passer-by or a car moves through the image plane that is reflected onto the viewing surfaces."" - artist's proposal","""Moving Pictures illustrates cinematic elements of changing perspective and the play of time, to create a greater understanding of film media. Formed from the composition of three vertical viewfinders, natural and artificial lighting, and landscape elements, the piece assembles a filmic montage in which images of the same object, captured and framed from different points of view and through different perceptions of time, can be seen by the viewer."" - artist's proposal", 1133 Seymour,https://app.vancouver.ca/publicart_net/Img/jpg/470.jpg
Renfrew Ravine Sanctuary," """"", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=427&Neighbourhood=&Ownership=&Program=, -123.043728,49.251186,['Carmen Rosen'],"The entrance to the ravine is enhanced with a welcoming pathway, garden, and stone labyrinth.",Sponsored by the Collingwood Neighbourhood House.,,
Robert Burns," """"", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=83&Neighbourhood=&Ownership=&Program=, -123.134619,49.297198,['George A. Lawson'],"This bronze statue of Robbie Burns was cast from the original in his native town of Ayr, Scotland. It is designated a heritage monument.",, Stanley Park,https://app.vancouver.ca/publicart_net/Img/jpg/083.jpg
Suan Phan: Abacus," ""Shanghai Alley""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=469&Neighbourhood=&Ownership=&Program=, -123.105903,49.279584,['Gwen Boyle'],"The artwork is a dark concrete gate structure that supports a curved steel beam painted in cinnabar and frames a 1200 lb abacus with jade stones from Ogden Mountain in BC. The stones are movable and were carved by Deborah Wilson and engineered by George Noble to ""float"".","""The abacus and jade are integral parts of Cinatown's history. Because I was born and lived here they are also part of my past and present. Traditionally jade is said to emanate ""chhi"", a power conducive of good health and luck. It was and is treasured for that silent effluxion as well as for the calm beauty of the stone. The abacus is known to the Chinese as ""suan phan"" (counting board). It is a mechanical aid once commonly - and still sometimes - used in chinatown shops. Calculations are made by moving the beads up and down and from right to left. Those beads would not be jade - probably wood."" from the announcement of the completion of the piece, October 29, 2005",550 Taylor,https://app.vancouver.ca/publicart_net/Img/jpg/469.jpg
The Wall at CBC: down. town.," ""CBC Vancouver Broadcast Centre Plaza""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=676&Neighbourhood=&Ownership=&Program=, -123.115019195069,49.27873731,['Faith Moosang'],"down. town. is a large-scale composite photographic installation that looks at the history and rate of change of the built form that comprises Vancouver's downtown corridor (bounded by Main St., Burrard St., north of Georgia St., False Creek and the Burrard Inlet) between 1954 and 2015.","down. town. was created after intensive research into not only how many buildings have been demolished in downtown Vancouver since 1954, but also how much of this process was considered to be ""newsworthy"" as evidenced by the archival holding of our first television station, CBUT (CBC's precursor). The original idea was to present a true ratio of buildings lost to buildings recorded in the process of being lost, thus incorporating the notion of ""absence"" into the final piece. Absence of buildings, absence of records and more generally the idea of buildings missing from public memory is the foundation of the work.",700 Hamilton Street,https://app.vancouver.ca/publicart_net/Img/jpg/676.jpg
"Abbott & Cordova, 7 August 1971"," ""Woodward's""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=572&Neighbourhood=&Ownership=&Program=, -123.107791,49.282643,['Stan Douglas'],Photographic re-enactment of the Gastown Riot,"The photo depicts an actual violent confrontation between polic and the city's counterculture in what came to be known as the Gastown Riot, during which uniformed and undercover police officers attacked a peaceful ""smoke-in"" protest organized to oppose what was regarded as police harassment of the counterculture.",333-351 Abbott,https://app.vancouver.ca/publicart_net/Img/jpg/572.jpg
Thunderbird," ""Student Union Building""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=128&Neighbourhood=&Ownership=&Program=, -123.250477,49.268544,['Ellen Neel'],"""The pole tells of  the five tests of Tsikumin, chief shaman of the Red Cedar Bark Dance and founder of Qui-Owa Sutinuk, ancestors of the carver. The Red Cedar Bark Dance was performed in Kitsilano Park during Vancouver's Jubilee in 1936."" -from UBC Archives - Campus Sculptures",The totem was purchased by the Alma Mater Society and previously installed at Brock Hall.,,
New Sights in the Heights," ""Champlain Heights Elementary School""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=426&Neighbourhood=&Ownership=&Program=, -123.027485,49.220697,['Andrew Currie'],Silhouettes of music notes were painted by children and parents and mounted on the school fence.,, 6955 Frontenac,
Idea for a Trellis," ""SALT / 1308 Hornby""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=630&Neighbourhood=&Ownership=&Program=, -123.129766,49.277092,"['Rhonda Weppler', '', '', '', 'Trevor Mahovsky']","Idea for a Trellis is comprised of 24 separate letters which form the final phrase from Voltaire's novella Candide: "" … we must cultivate our garden"". The letters are fastened to the north façade of the building in a vertical fashion running from the top storey down to where the building meets the public sidewalk at grade. Functioning as a sign on the building, the letters are rendered in a font designed by the artists which references the motif of a formal trellis structure employing trompe l'oeil techniques to create illusory depth and space. The spacing between the words in the phrase is based on a section of a Fibonacci sequence - reinforcing notions of the ideal, perfection and pragmatism which Voltaire explored so richly in Candide.",,1308 Hornby Street,https://app.vancouver.ca/publicart_net/Img/jpg/630.jpg
Leaf Stream," ""Bayshore tower ""C""""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=394&Neighbourhood=&Ownership=&Program=, -123.131793,49.291813,['Douglas Senft'],Large bronze maple leaves create a continuous path for a stream of water to flow from a circular pool above to a rectangular pool below. The leaves take on a turquoise patina from water flowing over them.,"""The site of Bayshore was once part of an indigenous forest with towering conifers and Bigleaf Maples. The view north, towards the current site will be framed by Red Maples (Acer rubrum) planed on Georgia Street. … From the beginning, Douglas Senft has envisioned large-scale leaves 'floating' on the water. Water in the top pool, welling up over the surface of a leaf, flowing across it's surface, falling from one leaf surface to the next, each acting as the carrier for the water as it cascades down to the lower pool."" - project statement, 2001",1680 Bayshore Drive,
Horizons," ""Wilkinson Company""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=188&Neighbourhood=&Ownership=&Program=, -123.089098,49.210882,['Gerhard Class'],Three geometric hard-edge  forms of corten steel reach away from each other to narrow points. The sculpture weighs 7000 lbs. The surface weathers to a dark blue.,"A private commission by F. Cameron Wilkinson to commemorate the 60th anniversary of the Wilkinson Company, a steel and metals distribution and procesing firm. The city planning department originally denied it a permit on the grounds that it viiolated a zoning bylaw forbidding structures in landscaped setbacks of industrial sites.  The company appealed the ruling and won.", 888 S.E. Marine Drive,https://app.vancouver.ca/publicart_net/Img/jpg/188.jpg
Project Tendril," ""Ross Street Temple""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=438&Neighbourhood=&Ownership=&Program=, -123.082415,49.211591,['Eric Neighbour'],"A series of ""living sculptures"" using vines growing over rebar and willow-branch structures are planned next to the Ross Street Temple.",The project is sponsored by the Sunset Community Centre and the Khalsa Daiwan Society.,8000 Ross Street,https://app.vancouver.ca/publicart_net/Img/jpg/438.jpg
Community Fence," ""community garden""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=368&Neighbourhood=&Ownership=&Program=, -123.088473,49.26368,"['Pat Beaton', '', '', '', 'Merle Adison', '', '', '', 'Haruko Okano']","This fence consists of about 400 red cedar pickets, each one hand-carved by someone living and/or working in Mount Pleasant. The project was initiated by artists connected with the grunt gallery, a storefront, artist-run centre. (from The Greater Vancouver Book)",, 8th and Fraser,https://app.vancouver.ca/publicart_net/Img/jpg/368.jpg
Untitled (Pair of Lions)," ""Vancouver Art Gallery""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=44&Neighbourhood=&Ownership=&Program=, -123.120103,49.283046,"['John Bruce', '', '', '', 'Timothy Bass']","Two granite lions rest on either side of the stairs leading up to the old court house, now the Vancouver Art Gallery. They are modeled after those in Trafalgar Square in London.  Each weighs 15 tons.",, 750 Hornby St .at Georgia,https://app.vancouver.ca/publicart_net/Img/jpg/044.jpg
Whispers," """"", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=583&Neighbourhood=&Ownership=&Program=, -123.112343,49.281585,"['Eli Horn', '', '', '', 'Jordan Bent']",Typographic murals of written prose by local authors,"Whispers is an installation of selected passages from local writers as typographic murals around Vancouver. Obscured in their isolation the words gain new context from their surroundings and speak for more than a single author. Drawing on the finality of commercial hand-lettering and the immediacy of graffiti, Whispers will develop a language which is driven neither by capital nor dissent, but by the inquisitive exploration of human experience in this urban landscape.","Multiple: 62 Powell St, 553 Hamilton St, 304 Dunlevy Ave, 195 East 26th Ave, Cambie St Bridge South",https://app.vancouver.ca/publicart_net/Img/jpg/583.jpg
Primavera," ""MacMillan Bloedel Bldg.""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=136&Neighbourhood=&Ownership=&Program=, -123.122389,49.285715,"['Jack Shadbolt', '', '', '', 'Alan Wood', '', '', '', 'Greg Bullen']",A large colourful acrylic on plywood mural adorns the lobby of the Bloedel Building. Butterflies are one of the signature forms of BC artist Jack Shadbolt and this is a particularly exuberant grouping bounded by two large butterflies on each end.,"What I wished to create was a great presence over the information desk - something expansive and jubilant. While I wished to contrast with the building's weight and greyness, and to amplify the theme of living growth represented in the tree plantings in the west half of the lobby, I also wanted the mural to be more than an appropriate decorative design. I wanted some image capable of appealing to the imagination of those who would use the lobby every day so that they would not tire of it and therefore become oblivious to it. What better than a great "" primavera "" for Spring to cheer the spirit? And what more impressive than a large sculptural relief in full colour? And what more poetically exuberant as a permanent symbol than two splendid butterflies breaking from the white cocoon of Spring - the one on the left an abstraction of pieces coming together to form the insect and the one on the right a full-fledged realization? It is hoped that once the mind is focussed in this direction a certain transformational process is suggested and with it certain mythological overtones might unfold. The cocoon may then become the violet and white mythic egg from which Spring is born. The symbolic bird and flowers now become the guardians of this ritual birth of new life, this PRIMAVERA.", 1075 West Georgia Street,https://app.vancouver.ca/publicart_net/Img/jpg/136.jpg
Untitled (Clydemont Centre)," ""Clydemont Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=5&Neighbourhood=&Ownership=&Program=, -123.111389,49.263263,['Beatrice Lennie'],"An elegant figurative relief in nouveau modernist style depicts nature and industry and stands out against a corrugated background surface. The building was formerly the Vancouver Labour Temple. The image is based on the wheel of industry and the figures include people engaged in different kinds of work, airplanes, buildings, plants, birds, and animals on a background of sun rays.",,307 West Broadway,https://app.vancouver.ca/publicart_net/Img/jpg/005.jpg
